model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
xcit_medium_24_p8_224.fb_dist_in1k,338.0,89.293,10.707,98.185,1.815,84.32,224,1.0,bicubic,4.219,0.935
beitv2_base_patch16_224.in1k_ft_in1k,350.0,89.271,10.729,98.262,1.738,86.53,224,0.9,bicubic,3.677,0.756
deit3_huge_patch14_224.fb_in1k,2590.72,89.218,10.782,98.164,1.836,632.13,224,0.9,bicubic,3.994,0.804
coat_lite_medium_384.in1k,178.0,89.209,10.791,98.219,1.781,44.57,384,1.0,bicubic,4.331,0.847
xcit_small_24_p8_224.fb_dist_in1k,191.0,89.199,10.801,98.243,1.757,47.63,224,1.0,bicubic,4.331,1.053
vit_base_patch32_clip_384.laion2b_ft_in12k_in1k,353.0,89.197,10.803,98.358,1.642,88.30,384,1.0,bicubic,3.831,0.698
dm_nfnet_f2.dm_in1k,775.0,89.194,10.806,98.228,1.772,193.78,352,0.92,bicubic,4.002,0.882
xcit_small_12_p16_384.fb_dist_in1k,105.0,89.194,10.806,98.217,1.783,26.25,384,1.0,bicubic,4.482,1.099
swin_base_patch4_window7_224.ms_in22k_ft_in1k,353.0,89.173,10.827,98.433,1.567,87.77,224,0.9,bicubic,3.901,0.869
vit_base_patch16_clip_224.openai_ft_in1k,346.0,89.171,10.829,98.269,1.732,86.57,224,0.9,bicubic,3.879,0.832
